"trait","Geno_Code","pop","value","top_bottom_label"
"CL-blue","Z026E0177",26,109.33,"bottom"
"CL-blue","Z011E0106",11,109.36,"bottom"
"CL-blue","Z005E0098",5,109.4,"bottom"
"CL-blue","Z005E0130",5,109.46,"bottom"
"CL-blue","Z010E0028",10,109.46,"bottom"
"CL-blue","Z004E0165",4,109.48,"bottom"
"CL-blue","Z008E0031",8,109.48,"bottom"
"CL-blue","Z011E0180",11,109.5,"bottom"
"CL-blue","Z020E0164",20,109.53,"bottom"
"CL-blue","Z008E0101",8,109.54,"bottom"
"CL-blue","Z025E0093",25,109.57,"bottom"
"CL-blue","Z024E0053",24,109.58,"bottom"
"CL-blue","Z020E0108",20,109.61,"bottom"
"CL-blue","Z004E0082",4,109.62,"bottom"
"CL-blue","Z015E0191",15,109.64,"bottom"
"CL-blue","Z024E0123",24,109.72,"bottom"
"CL-blue","Z003E0016",3,109.78,"bottom"
"CL-blue","Z009E0112",9,109.78,"bottom"
"CL-blue","Z025E0036",25,109.78,"bottom"
"CL-blue","Z008E0052",8,109.84,"bottom"
"CL-blue","Z010E0129",10,109.84,"bottom"
"CL-blue","Z014E0088",14,109.85,"bottom"
"CL-blue","Z011E0059",11,109.87,"bottom"
"CL-blue","Z006E0151",6,109.91,"bottom"
"CL-blue","Z020E0130",20,109.91,"bottom"
"CL-blue","Z018E0142",18,109.92,"bottom"
"CL-blue","Z006E0085",6,109.94,"bottom"
"CL-blue","Z008E0095",8,109.96,"bottom"
"CL-blue","Z016E0103",16,109.98,"bottom"
"CL-blue","Z026E0136",26,109.99,"bottom"
"CL-blue","Z011E0115",11,110.01,"bottom"
"CL-blue","Z025E0179",25,110.05,"bottom"
"CL-blue","Z005E0084",5,110.1,"bottom"
"CL-blue","Z023E0074",23,110.1,"bottom"
"CL-blue","Z024E0013",24,110.1,"bottom"
"CL-blue","Z011E0175",11,110.11,"bottom"
"CL-blue","Z002E0036",2,110.13,"bottom"
"CL-blue","Z006E0119",6,110.17,"bottom"
"CL-blue","Z009E0096",9,110.19,"bottom"
"CL-blue","Z019E0170",19,110.22,"bottom"
"CL-blue","Z015E0030",15,110.28,"bottom"
"CL-blue","Z026E0074",26,110.28,"bottom"
"CL-blue","Z024E0161",24,110.29,"bottom"
"CL-blue","Z020E0125",20,110.3,"bottom"
"CL-blue","Z025E0197",25,110.3,"bottom"
"CL-blue","Z004E0099",4,110.34,"bottom"
"CL-blue","Z018E0192",18,110.36,"bottom"
"CL-blue","Z025E0113",25,110.36,"bottom"
"CL-blue","Z024E0035",24,110.38,"bottom"
"CL-blue","Z026E0007",26,110.41,"bottom"
"CL-blue","Z004E0134",4,110.42,"bottom"
"CL-blue","Z004E0179",4,110.42,"bottom"
"CL-blue","Z011E0055",11,110.47,"bottom"
"CL-blue","Z010E0126",10,110.48,"bottom"
"CL-blue","Z009E0117",9,110.54,"bottom"
"CL-blue","Z011E0169",11,110.54,"bottom"
"CL-blue","Z011E0140",11,110.56,"bottom"
"CL-blue","Z026E0033",26,110.56,"bottom"
"CL-blue","Z021E0198",21,110.62,"bottom"
"CL-blue","Z005E0131",5,110.63,"bottom"
"CL-blue","Z006E0093",6,110.63,"bottom"
"CL-blue","Z008E0128",8,110.65,"bottom"
"CL-blue","Z008E0097",8,110.66,"bottom"
"CL-blue","Z024E0111",24,110.66,"bottom"
"CL-blue","Z018E0180",18,110.67,"bottom"
"CL-blue","Z009E0080",9,110.73,"bottom"
"CL-blue","Z010E0087",10,110.73,"bottom"
"CL-blue","Z010E0105",10,110.76,"bottom"
"CL-blue","Z026E0167",26,110.76,"bottom"
"CL-blue","Z004E0126",4,110.77,"bottom"
"CL-blue","Z008E0163",8,110.77,"bottom"
"CL-blue","Z026E0170",26,110.77,"bottom"
"CL-blue","Z025E0043",25,110.78,"bottom"
"CL-blue","Z008E0087",8,110.8,"bottom"
