"trait","Geno_Code","pop","value","top_bottom_label"
"CL-blue","Z006E0002",6,144.87,"top"
"CL-blue","Z006E0035",6,145.54,"top"
"CL-blue","Z006E0149",6,146.15,"top"
"CL-blue","Z006E0145",6,149.53,"top"
"CL-blue","Z006E0028",6,150.55,"top"
"CL-blue","Z006E0146",6,152.49,"top"
"CL-blue","Z006E0150",6,154.09,"top"
"CL-blue","Z006E0178",6,154.88,"top"
"CL-blue","Z007E0125",7,107.18,"bottom"
"CL-blue","Z007E0128",7,107.44,"bottom"
"CL-blue","Z007E0008",7,107.95,"bottom"
"CL-blue","Z007E0017",7,108.52,"bottom"
"CL-blue","Z007E0104",7,111.86,"bottom"
"CL-blue","Z007E0088",7,112.15,"bottom"
"CL-blue","Z007E0116",7,112.21,"bottom"
"CL-blue","Z007E0157",7,112.33,"bottom"
"CL-blue","Z007E0034",7,112.43,"bottom"
"CL-blue","Z007E0100",7,112.67,"bottom"
"CL-blue","Z007E0180",7,113.36,"bottom"
"CL-blue","Z007E0141",7,113.81,"bottom"
"CL-blue","Z007E0140",7,114.2,"bottom"
"CL-blue","Z007E0164",7,114.31,"bottom"
"CL-blue","Z007E0056",7,114.42,"bottom"
"CL-blue","Z007E0005",7,114.99,"bottom"
"CL-blue","Z007E0109",7,115.27,"bottom"
"CL-blue","Z007E0197",7,115.36,"bottom"
"CL-blue","Z007E0009",7,147.33,"top"
"CL-blue","Z007E0043",7,148.01,"top"
"CL-blue","Z007E0091",7,148.59,"top"
"CL-blue","Z007E0025",7,149.08,"top"
"CL-blue","Z007E0045",7,149.77,"top"
"CL-blue","Z007E0177",7,149.95,"top"
"CL-blue","Z007E0021",7,151.1,"top"
"CL-blue","Z007E0062",7,151.92,"top"
"CL-blue","Z007E0129",7,152.42,"top"
"CL-blue","Z007E0053",7,152.46,"top"
"CL-blue","Z007E0119",7,153.1,"top"
"CL-blue","Z007E0174",7,153.17,"top"
"CL-blue","Z007E0175",7,153.18,"top"
"CL-blue","Z007E0167",7,153.89,"top"
"CL-blue","Z007E0064",7,156.57,"top"
"CL-blue","Z007E0134",7,160.8,"top"
"CL-blue","Z007E0148",7,161.35,"top"
"CL-blue","Z007E0171",7,175.11,"top"
"CL-blue","Z008E0046",8,96.9,"bottom"
"CL-blue","Z008E0200",8,98.95,"bottom"
"CL-blue","Z008E0160",8,101,"bottom"
"CL-blue","Z008E0109",8,101.13,"bottom"
"CL-blue","Z008E0065",8,102.21,"bottom"
"CL-blue","Z008E0025",8,102.33999999999999,"bottom"
"CL-blue","Z008E0105",8,103.14,"bottom"
"CL-blue","Z008E0192",8,104.02999999999999,"bottom"
"CL-blue","Z008E0026",8,104.53,"bottom"
"CL-blue","Z008E0153",8,104.61,"bottom"
"CL-blue","Z008E0094",8,105.18,"bottom"
"CL-blue","Z008E0110",8,105.92,"bottom"
"CL-blue","Z008E0198",8,107.62,"bottom"
"CL-blue","Z008E0133",8,108.45,"bottom"
"CL-blue","Z008E0148",8,108.47,"bottom"
"CL-blue","Z008E0031",8,109.48,"bottom"
"CL-blue","Z008E0101",8,109.54,"bottom"
"CL-blue","Z008E0052",8,109.84,"bottom"
"CL-blue","Z008E0019",8,139.15,"top"
"CL-blue","Z008E0142",8,139.71,"top"
"CL-blue","Z008E0042",8,140.04,"top"
"CL-blue","Z008E0068",8,140.36,"top"
"CL-blue","Z008E0009",8,140.54,"top"
"CL-blue","Z008E0182",8,140.67,"top"
"CL-blue","Z008E0040",8,140.88,"top"
"CL-blue","Z008E0005",8,141.33,"top"
"CL-blue","Z008E0112",8,141.7,"top"
"CL-blue","Z008E0165",8,142.38,"top"
"CL-blue","Z008E0059",8,142.39,"top"
"CL-blue","Z008E0010",8,143.12,"top"
