pop,Geno_Code,CL-blue
2,Z002E0163,145.03
2,Z002E0164,130.68
2,Z002E0165,127.86
2,Z002E0166,129.7
2,Z002E0167,132.03
2,Z002E0168,136.57
2,Z002E0169,119.77
2,Z002E0170,132.78
2,Z002E0171,130.31
2,Z002E0172,152.78
2,Z002E0173,133.75
2,Z002E0175,156.95
2,Z002E0176,145.89
2,Z002E0178,139.32
2,Z002E0179,117.8
2,Z002E0180,133.89
2,Z002E0181,139.96
2,Z002E0183,130.31
2,Z002E0184,138.75
2,Z002E0186,141.53
2,Z002E0187,160.17
2,Z002E0188,119.81
2,Z002E0189,137.44
2,Z002E0190,149.87
2,Z002E0191,141.98
2,Z002E0192,138.43
2,Z002E0193,112.95
2,Z002E0194,119.64
2,Z002E0195,142.41
2,Z002E0198,128.33
2,Z002E0199,129.27
2,Z002E0200,139.72
3,Z003E0001,155.66
3,Z003E0002,119.67
3,Z003E0003,131.77
3,Z003E0006,150.7
3,Z003E0007,135.09
3,Z003E0009,148.29
3,Z003E0010,141.42
3,Z003E0011,142.89
3,Z003E0012,150.94
3,Z003E0013,144.42
3,Z003E0014,161.39
3,Z003E0016,109.78
3,Z003E0017,150.23
3,Z003E0018,148.8
3,Z003E0019,133.22
3,Z003E0021,124.45
3,Z003E0022,122.29
3,Z003E0023,133.69
3,Z003E0024,117.81
3,Z003E0026,132.1
3,Z003E0027,114.52
3,Z003E0029,146.54
3,Z003E0030,131.86
3,Z003E0031,130.21
3,Z003E0032,121.8
3,Z003E0033,127.82
3,Z003E0034,141.26
3,Z003E0035,137.44
3,Z003E0036,151.75
3,Z003E0037,130.43
3,Z003E0038,132.49
3,Z003E0041,148.73
3,Z003E0042,120.05
3,Z003E0043,147.28
3,Z003E0044,157.28
3,Z003E0045,144.06
3,Z003E0046,143.53
3,Z003E0047,118.98
3,Z003E0049,135.54
3,Z003E0050,163.39
3,Z003E0051,160.79
3,Z003E0052,122.92
3,Z003E0053,146.9
3,Z003E0054,141.51
3,Z003E0055,145.94
3,Z003E0056,144.27
3,Z003E0057,145.75
3,Z003E0058,119.87
3,Z003E0059,154.38
3,Z003E0061,123.13
3,Z003E0062,151.44
3,Z003E0063,141.55
3,Z003E0066,142.48
3,Z003E0067,149.06
3,Z003E0068,121.13
3,Z003E0069,152.57
3,Z003E0070,132.43
3,Z003E0071,147.62
3,Z003E0072,134.95
3,Z003E0073,142.42
3,Z003E0074,128.41
3,Z003E0075,131.24
3,Z003E0076,134.67
3,Z003E0077,131.66
3,Z003E0078,141.17
3,Z003E0079,134.18
3,Z003E0080,146.17
3,Z003E0081,136.68
3,Z003E0082,144.41
3,Z003E0083,145.81
3,Z003E0084,121.09
3,Z003E0085,140.77
3,Z003E0086,123.47
3,Z003E0087,113.56
3,Z003E0089,155.67
3,Z003E0090,135.96
3,Z003E0092,132.09
3,Z003E0093,147.02
3,Z003E0094,151.28
3,Z003E0095,153.33
3,Z003E0096,129.06
3,Z003E0097,153.74
3,Z003E0098,149.1
3,Z003E0099,138.07
3,Z003E0100,113.5
3,Z003E0101,117.46
3,Z003E0102,125.04
3,Z003E0103,122.22
3,Z003E0104,143.67
3,Z003E0105,158.91
3,Z003E0106,154.12
3,Z003E0107,131.3
3,Z003E0108,138.41
3,Z003E0109,152.25
3,Z003E0110,137.92
3,Z003E0111,151.81
3,Z003E0112,141.7
3,Z003E0114,142.51
3,Z003E0115,152.47
3,Z003E0116,133.85
3,Z003E0117,132.13
3,Z003E0118,126.02
3,Z003E0120,145.32
3,Z003E0121,133.18
3,Z003E0122,142.64
3,Z003E0123,138.64
3,Z003E0125,148.95
3,Z003E0126,126.95
3,Z003E0127,136.63
3,Z003E0128,129.8
3,Z003E0129,145.75
3,Z003E0130,140.68
3,Z003E0131,159.2
3,Z003E0132,143.62
3,Z003E0133,136.22
3,Z003E0134,153.69
3,Z003E0135,140.56
3,Z003E0136,153.31
3,Z003E0138,160.97
3,Z003E0139,144.11
3,Z003E0140,180.74
3,Z003E0141,151.45
3,Z003E0142,124.02
3,Z003E0143,147.06
3,Z003E0144,122.82
3,Z003E0145,157.98
3,Z003E0146,124.22
3,Z003E0147,150.87
3,Z003E0148,140.09
3,Z003E0149,132.43
3,Z003E0150,123.62
3,Z003E0151,136.5
3,Z003E0152,159.46
3,Z003E0153,148.35
3,Z003E0154,136.81
3,Z003E0156,134.25
3,Z003E0157,143.41
3,Z003E0158,134.4
3,Z003E0160,125.3
3,Z003E0161,155.29
3,Z003E0163,131.98
3,Z003E0164,137.2
3,Z003E0166,130.62
3,Z003E0167,130.83
3,Z003E0168,120.95
3,Z003E0169,148.38
3,Z003E0171,155.97
3,Z003E0172,154.79
3,Z003E0173,144.03
3,Z003E0174,169.27
3,Z003E0175,143.86
3,Z003E0176,134.69
3,Z003E0177,150.93
3,Z003E0178,139.79
3,Z003E0180,150.25
3,Z003E0181,149.81
3,Z003E0183,142.63
3,Z003E0184,138.02
3,Z003E0185,108.58
3,Z003E0186,136.51
3,Z003E0187,143.06
3,Z003E0188,136.96
3,Z003E0189,131.48
3,Z003E0192,158.56
3,Z003E0193,152.27
3,Z003E0194,125.5
3,Z003E0195,134.71
3,Z003E0196,138.98
3,Z003E0197,128.93
3,Z003E0198,129.89
3,Z003E0199,144.15
3,Z003E0200,150.58
4,Z004E0001,120.25
4,Z004E0002,129.96
4,Z004E0003,136.1
4,Z004E0004,119.4
4,Z004E0005,136.5
4,Z004E0006,134.65
4,Z004E0009,135.22
4,Z004E0010,148.97
4,Z004E0011,122.58
4,Z004E0012,145.53
4,Z004E0013,139.03
4,Z004E0014,135.74
4,Z004E0015,133.26
4,Z004E0016,124.41
4,Z004E0017,129.43
4,Z004E0018,130.92
4,Z004E0019,106.02
4,Z004E0020,127.65
4,Z004E0021,122.68
4,Z004E0022,116.91
4,Z004E0023,149.03
4,Z004E0024,114.97
4,Z004E0025,132.84
4,Z004E0026,130.16
4,Z004E0027,115.22
4,Z004E0028,141.3
4,Z004E0029,121.02
4,Z004E0031,118.48
4,Z004E0032,132.01
4,Z004E0033,128.85
4,Z004E0034,119.94
4,Z004E0035,121.78
4,Z004E0036,113.76
4,Z004E0038,133.14
4,Z004E0039,131.78
4,Z004E0040,126.48
4,Z004E0042,122.53
4,Z004E0043,144.48
4,Z004E0044,134.71
4,Z004E0045,98.99
4,Z004E0046,122.78
4,Z004E0047,129.09
4,Z004E0048,128.65
4,Z004E0049,135.27
4,Z004E0050,117.33
4,Z004E0051,118.4
4,Z004E0052,128.46
4,Z004E0053,114.65
4,Z004E0054,151.93
4,Z004E0056,134.1
4,Z004E0057,130.9
4,Z004E0058,131.59
4,Z004E0059,149.49
4,Z004E0060,118.25
4,Z004E0061,129.97
4,Z004E0062,125.09
4,Z004E0063,130.18
4,Z004E0064,112.72
4,Z004E0065,130.25
4,Z004E0066,112.18
4,Z004E0067,115.02
4,Z004E0068,116.79
4,Z004E0069,129.5
4,Z004E0070,119.87
4,Z004E0071,108.36
4,Z004E0072,113.7
4,Z004E0073,131.12
4,Z004E0074,126.74
4,Z004E0075,127.78
4,Z004E0076,123.81
4,Z004E0077,127.45
4,Z004E0078,136.14
4,Z004E0079,122.48
4,Z004E0080,123.32
4,Z004E0081,111.46
4,Z004E0082,109.62
4,Z004E0083,149.16
4,Z004E0084,125.86
4,Z004E0085,102.36
4,Z004E0086,115.4
4,Z004E0087,114.16
4,Z004E0088,127.19
4,Z004E0089,126.67
4,Z004E0090,122.72
4,Z004E0091,120.01
4,Z004E0092,116.02
4,Z004E0093,126.73
4,Z004E0094,126.59
4,Z004E0095,119.64
4,Z004E0096,112.31
4,Z004E0097,136.82
4,Z004E0098,138.25
4,Z004E0099,110.34
4,Z004E0100,122.52
4,Z004E0101,102.99
4,Z004E0102,116.14
4,Z004E0103,119.58
4,Z004E0104,129.67
4,Z004E0105,133.47
4,Z004E0106,132.07
4,Z004E0107,108.29
4,Z004E0108,121.37
4,Z004E0109,125.21
4,Z004E0110,103.29
4,Z004E0111,129.72
4,Z004E0112,117.23
4,Z004E0113,131.62
4,Z004E0115,139.72
4,Z004E0116,121.26
4,Z004E0117,155.72
4,Z004E0118,130.42
4,Z004E0120,112.72
4,Z004E0121,114.87
4,Z004E0122,126.75
4,Z004E0123,117.83
4,Z004E0124,126.78
4,Z004E0125,121.27
4,Z004E0126,110.77
4,Z004E0127,128.08
4,Z004E0128,123.15
4,Z004E0129,125.52
